"","technical_scale","leadership_scale","likeable_scale","learner_scale","education_scale","experience_scale","pt","age","gender","gender_5_TEXT","employment","role","company_size","experience","roles","industry","industry_12_TEXT","risk_aversion_1","risk_aversion_2","risk_aversion_3","risk_aversion_4","risk_aversion_5","risk_aversion_6","Condition","Iteration","source","rating","applicant_gender","applicant_education","stimuli_number"
"17",10,7,9,8,8,9,42,49,"Man",NA,"Employed full time","Engineer","50-100 employees","5-10 years","Junior Engineer. Technician","Technology","",4,5,5,3,6,3,"Man_Nontraditional","Experiment","man_nontrad_2_1",9,"man","nontrad","2_1"
"18",9,10,9,9,9,10,68,28,"Man",NA,"Employed full time","Computer programmer","100-500 employees","1-2 years","Junior dev","Technology","",2,6,5,5,4,7,"Man_Nontraditional","Experiment","man_nontrad_2_1",10,"man","nontrad","2_1"
"19",10,10,10,10,10,10,91,57,"Woman",NA,"Employed full time","Information Management ","1,000+ employees","5-10 years","Retail","Retail","",4,7,7,7,4,4,"Man_Nontraditional","Experiment","man_nontrad_2_1",10,"man","nontrad","2_1"
"20",10,3,8,9,0,10,96,33,"Man",NA,"Employed full time","Software Engineer","1,000+ employees","3-5 years","System Admin, Analyst, Product Owner","Education,Technology","",4,5,5,4,5,4,"Man_Nontraditional","Experiment","man_nontrad_2_1",10,"man","nontrad","2_1"
"21",9,9,10,9,9,9,131,28,"Man",NA,"Employed full time","Engineering Supervisor","100-500 employees","3-5 years","Applications Engineer","Professional or business services","",1,6,6,5,1,2,"Man_Nontraditional","Experiment","man_nontrad_2_1",9,"man","nontrad","2_1"
"22",8,7,8,8,9,9,141,37,"Man",NA,"Employed full time","administrator manager","Less than 50 employees","3-5 years","developers, architects, administrators","Technology","",1,5,3,1,6,3,"Man_Nontraditional","Experiment","man_nontrad_2_1",9,"man","nontrad","2_1"
"23",6,6,6,6,6,6,169,32,"Man",NA,"Employed full time","Programmer","500-1,000 employees","1-2 years","Front","Retail","",5,6,5,5,3,3,"Man_Nontraditional","Experiment","man_nontrad_2_1",7,"man","nontrad","2_1"
"24",9,8,8,8,6,7,183,29,"Non-binary / third gender",NA,"Employed full time","Human Resources","1,000+ employees","5-10 years","Human Resources, associates","Professional or business services","",1,4,3,1,6,2,"Man_Nontraditional","Experiment","man_nontrad_2_1",8,"man","nontrad","2_1"
"25",6,5,5,5,0,6,202,40,"Woman",NA,"Employed full time","Director","50-100 employees","5-10 years","Assistant IT Manager; STEM research analyst; software engineer","Financial or information,Technology","",6,7,7,6,5,6,"Man_Nontraditional","Experiment","man_nontrad_2_1",3,"man","nontrad","2_1"
"26",8,5,5,5,5,8,231,31,"Woman",NA,"Employed full time","Senior Principal","1,000+ employees","3-5 years","Researcher, security professionals","Financial or information,Professional or business services","",3,5,4,3,5,4,"Man_Nontraditional","Experiment","man_nontrad_2_1",9,"man","nontrad","2_1"
"27",9,9,9,9,9,9,240,41,"Woman",NA,"Employed full time","IT supervisor ","1,000+ employees","5-10 years","IT","Manufacturing","",6,6,6,5,4,6,"Man_Nontraditional","Experiment","man_nontrad_2_1",9,"man","nontrad","2_1"
"28",10,9,10,10,9,10,268,48,"Man",NA,"Employed full time","Safety engineer","50-100 employees","3-5 years","Safety officer","Professional or business services,Technology","",2,2,6,5,6,3,"Man_Nontraditional","Experiment","man_nontrad_2_1",10,"man","nontrad","2_1"
"29",10,7,2,10,0,10,275,42,"Woman",NA,"Employed full time","Director of UI/UX Design ","1,000+ employees","3-5 years","Web Designer, Graphic Artist, UX Designer","Technology","",2,5,4,3,7,4,"Man_Nontraditional","Experiment","man_nontrad_2_1",10,"man","nontrad","2_1"
"30",9,6,7,7,2,10,18,34,"Man",NA,"Employed full time","IT manager","1,000+ employees","5-10 years","analyst","Technology","",6,6,6,2,5,2,"Man_Nontraditional","Experiment","man_nontrad_3_1",7,"man","nontrad","3_1"
"31",3,4,4,4,4,4,20,32,"Man",NA,"Employed full time","Principle Engineer","1,000+ employees","Less than 1 year","Software Engineer","Professional or business services,Technology","",6,6,3,5,6,5,"Man_Nontraditional","Experiment","man_nontrad_3_1",4,"man","nontrad","3_1"
"32",7,5,6,6,3,9,58,46,"Man",NA,"Employed full time","Project Manager","100-500 employees","5-10 years","Software Developer, IT Technician, UI/UX designer","Technology","",3,6,5,5,5,3,"Man_Nontraditional","Experiment","man_nontrad_3_1",7,"man","nontrad","3_1"
"33",8,6,7,8,2,8,66,35,"Man",NA,"Employed full time","IT Admin","50-100 employees","1-2 years","Technician","Technology","",4,6,5,5,4,5,"Man_Nontraditional","Experiment","man_nontrad_3_1",7,"man","nontrad","3_1"
"34",7,3,6,6,7,7,84,54,"Man",NA,"Employed full time","Lead Data Analyst","1,000+ employees","5-10 years","Business Analysts, QA Engineers","Professional or business services,Technology","",4,6,5,4,3,5,"Man_Nontraditional","Experiment","man_nontrad_3_1",6,"man","nontrad","3_1"
"35",7,7,7,8,4,7,111,33,"Man",NA,"Employed full time","Area IT Manager","100-500 employees","1-2 years","Systems Admin","Leisure or hospitality","",5,6,6,5,5,5,"Man_Nontraditional","Experiment","man_nontrad_3_1",6,"man","nontrad","3_1"
"36",7,4,6,7,1,8,126,36,"Man",NA,"Employed full time","IT Manager","1,000+ employees","3-5 years","Software developers","Technology","",3,6,6,3,2,3,"Man_Nontraditional","Experiment","man_nontrad_3_1",6,"man","nontrad","3_1"
"37",9,6,9,10,7,8,137,42,"Man",NA,"Employed full time","Senior manager","50-100 employees","10+ years","Hiring manager","Technology","",1,6,7,1,7,1,"Man_Nontraditional","Experiment","man_nontrad_3_1",8,"man","nontrad","3_1"
"38",7,7,7,6,5,7,158,52,"Man",NA,"Employed full time","manager, development","500-1,000 employees","10+ years","software development","Professional or business services,Technology","",3,4,4,4,5,4,"Man_Nontraditional","Experiment","man_nontrad_3_1",7,"man","nontrad","3_1"
"39",6,5,5,5,6,8,191,33,"Woman",NA,"Employed full time","Software Engineer","500-1,000 employees","3-5 years","Software Engineering","Technology","",6,7,6,6,3,7,"Man_Nontraditional","Experiment","man_nontrad_3_1",8,"man","nontrad","3_1"
"40",9,6,8,9,7,9,212,29,"Man",NA,"Employed full time","Design Engineer","50-100 employees","3-5 years","Assembly, Engineering","Manufacturing","",2,5,5,5,3,3,"Man_Nontraditional","Experiment","man_nontrad_3_1",7,"man","nontrad","3_1"
"41",6,8,7,7,1,7,222,32,"Man",NA,"Employed full time","Lead Software Engineer","1,000+ employees","10+ years","Software engineering","Technology","",5,6,6,6,3,6,"Man_Nontraditional","Experiment","man_nontrad_3_1",1,"man","nontrad","3_1"
"42",9,9,9,9,9,9,240,41,"Woman",NA,"Employed full time","IT supervisor ","1,000+ employees","5-10 years","IT","Manufacturing","",6,6,6,5,4,6,"Man_Nontraditional","Experiment","man_nontrad_3_1",8,"man","nontrad","3_1"
"43",6,3,6,7,2,6,259,42,"Man",NA,"Employed full time","IT Analyst Manager","100-500 employees","5-10 years","Mobile app developers, web site developers, designers, software engineers","Technology","",3,4,5,3,5,3,"Man_Nontraditional","Experiment","man_nontrad_3_1",6,"man","nontrad","3_1"
"44",8,5,7,5,7,9,280,52,"Man",NA,"Employed full time","Director of IT","500-1,000 employees","10+ years","Management, food service, technical specialists.","Health,Leisure or hospitality","",2,5,6,2,7,2,"Man_Nontraditional","Experiment","man_nontrad_3_1",7,"man","nontrad","3_1"
"45",4,3,3,2,4,3,8,36,"Man",NA,"Employed full time","engineer","1,000+ employees","10+ years","engineering","Professional or business services","",3,3,3,5,3,3,"Man_Nontraditional","Experiment","man_nontrad_4_1",3,"man","nontrad","4_1"
"46",7,5,5,6,5,7,32,32,"Man",NA,"Employed full time","Electronic Technician ","100-500 employees","Less than 1 year","Electronic Technician ","Manufacturing","",2,5,5,4,5,4,"Man_Nontraditional","Experiment","man_nontrad_4_1",6,"man","nontrad","4_1"
"47",7,9,8,7,9,4,49,47,"Man",NA,"Employed full time","director of operations","1,000+ employees","10+ years","entry level and managers","Technology","",2,6,6,4,5,2,"Man_Nontraditional","Experiment","man_nontrad_4_1",8,"man","nontrad","4_1"
"48",8,6,7,8,2,8,66,35,"Man",NA,"Employed full time","IT Admin","50-100 employees","1-2 years","Technician","Technology","",4,6,5,5,4,5,"Man_Nontraditional","Experiment","man_nontrad_4_1",8,"man","nontrad","4_1"
"49",2,2,2,6,0,6,80,42,"Man",NA,"Employed full time","Principle Software Engineer","100-500 employees","10+ years","Software Engineer, Program Manager, Project Manager, Product Manager, CIO, Social Media, Producer, Writer, Marketing, Graphic Designer, UX Designer, QA, Consultant, Sales","Professional or business services,Technology","",3,4,5,2,7,2,"Man_Nontraditional","Experiment","man_nontrad_4_1",2,"man","nontrad","4_1"
"50",9,10,10,8,9,9,101,33,"Man",NA,"Employed full time","senior","50-100 employees","3-5 years","new staff members","Agriculture, mining, or construction,Professional or business services","",5,6,7,7,5,6,"Man_Nontraditional","Experiment","man_nontrad_4_1",8,"man","nontrad","4_1"
"51",9,9,3,7,6,7,120,41,"Man",NA,"Employed full time","senior chemist","500-1,000 employees","5-10 years","lab techs and chemists","Other - not listed","pharma",2,3,5,2,6,2,"Man_Nontraditional","Experiment","man_nontrad_4_1",7,"man","nontrad","4_1"
"52",8,5,6,6,6,8,146,31,"Man",NA,"Employed full time","Junior Software Engineer","Less than 50 employees","1-2 years","Cashier
Software Engineer","Retail,Technology","",2,4,4,2,5,3,"Man_Nontraditional","Experiment","man_nontrad_4_1",7,"man","nontrad","4_1"
"53",8,6,8,6,7,7,164,58,"Man",NA,"Employed full time","Technical Sales Specialist ","50-100 employees","Less than 1 year","Customer Support Representatives ","Health","",2,5,4,4,6,3,"Man_Nontraditional","Experiment","man_nontrad_4_1",8,"man","nontrad","4_1"
"54",9,4,5,6,4,10,179,31,"Man",NA,"Employed full time","Administrative Analyst","Less than 50 employees","1-2 years","Administrative Assistant, Junior Data Analyst","Professional or business services,Technology,Transportation, utilities, or wholesale","",4,6,3,6,3,5,"Man_Nontraditional","Experiment","man_nontrad_4_1",9,"man","nontrad","4_1"
"55",9,5,6,6,9,9,211,52,"Man",NA,"Employed full time","Web Developer","Less than 50 employees","1-2 years","Hiring for programmers and developers.","Financial or information,Retail,Technology","",5,6,7,5,5,5,"Man_Nontraditional","Experiment","man_nontrad_4_1",5,"man","nontrad","4_1"
"56",6,6,7,6,8,7,224,34,"Man",NA,"Employed full time","manager","1,000+ employees","3-5 years","software","Professional or business services,Technology","",2,6,6,5,5,3,"Man_Nontraditional","Experiment","man_nontrad_4_1",6,"man","nontrad","4_1"
"57",7,5,6,5,6,6,238,27,"Woman",NA,"Employed full time","Program Manager","100-500 employees","1-2 years","Project Coordinator, Assocaite","Health","",4,5,5,5,3,5,"Man_Nontraditional","Experiment","man_nontrad_4_1",7,"man","nontrad","4_1"
"58",8,8,8,8,8,8,271,27,"Man",NA,"Employed full time","Sales Manager","500-1,000 employees","Less than 1 year","Logistics Specialist, Sales Rep, Intern","Transportation, utilities, or wholesale","",3,6,5,5,5,4,"Man_Nontraditional","Experiment","man_nontrad_4_1",10,"man","nontrad","4_1"
"59",10,7,2,10,0,10,275,42,"Woman",NA,"Employed full time","Director of UI/UX Design ","1,000+ employees","3-5 years","Web Designer, Graphic Artist, UX Designer","Technology","",2,5,4,3,7,4,"Man_Nontraditional","Experiment","man_nontrad_4_1",7,"man","nontrad","4_1"
"60",9,6,7,7,2,10,18,34,"Man",NA,"Employed full time","IT manager","1,000+ employees","5-10 years","analyst","Technology","",6,6,6,2,5,2,"Man_Nontraditional","Experiment","man_nontrad_5_1",7,"man","nontrad","5_1"
"61",10,7,5,5,10,10,29,37,"Man",NA,"Employed full time","Business Analyst","1,000+ employees","5-10 years","Associates","Financial or information","",1,5,5,1,7,6,"Man_Nontraditional","Experiment","man_nontrad_5_1",10,"man","nontrad","5_1"
"62",8,6,6,7,5,8,41,51,"Man",NA,"Employed full time","Network Administrator","100-500 employees","10+ years","Network Security, Server Support, Desktop Support, Software Engineer","Technology","",3,6,4,4,4,4,"Man_Nontraditional","Experiment","man_nontrad_5_1",8,"man","nontrad","5_1"
"63",9,10,9,9,9,10,68,28,"Man",NA,"Employed full time","Computer programmer","100-500 employees","1-2 years","Junior dev","Technology","",2,6,5,5,4,7,"Man_Nontraditional","Experiment","man_nontrad_5_1",9,"man","nontrad","5_1"
"64",7,3,6,6,7,7,84,54,"Man",NA,"Employed full time","Lead Data Analyst","1,000+ employees","5-10 years","Business Analysts, QA Engineers","Professional or business services,Technology","",4,6,5,4,3,5,"Man_Nontraditional","Experiment","man_nontrad_5_1",7,"man","nontrad","5_1"
"65",7,7,7,8,4,7,111,33,"Man",NA,"Employed full time","Area IT Manager","100-500 employees","1-2 years","Systems Admin","Leisure or hospitality","",5,6,6,5,5,5,"Man_Nontraditional","Experiment","man_nontrad_5_1",6,"man","nontrad","5_1"
"66",9,9,3,7,6,7,120,41,"Man",NA,"Employed full time","senior chemist","500-1,000 employees","5-10 years","lab techs and chemists","Other - not listed","pharma",2,3,5,2,6,2,"Man_Nontraditional","Experiment","man_nontrad_5_1",6,"man","nontrad","5_1"
"67",8,7,8,8,9,9,141,37,"Man",NA,"Employed full time","administrator manager","Less than 50 employees","3-5 years","developers, architects, administrators","Technology","",1,5,3,1,6,3,"Man_Nontraditional","Experiment","man_nontrad_5_1",10,"man","nontrad","5_1"
"68",5,6,5,6,5,6,162,39,"Man",NA,"Employed full time","I T Manager","50-100 employees","5-10 years","I T Staff","Technology","",6,6,1,2,6,6,"Man_Nontraditional","Experiment","man_nontrad_5_1",5,"man","nontrad","5_1"
"69",9,7,8,9,9,9,193,34,"Man",NA,"Employed full time","Finance Manager","1,000+ employees","1-2 years","Corporate Finance","Financial or information","",5,6,5,6,3,5,"Man_Nontraditional","Experiment","man_nontrad_5_1",9,"man","nontrad","5_1"
"70",8,1,5,6,9,10,204,40,"Man",NA,"Employed full time","Staff Software Engineer","1,000+ employees","3-5 years","Software engineer, engineering director ","Technology","",6,6,7,5,7,5,"Man_Nontraditional","Experiment","man_nontrad_5_1",9,"man","nontrad","5_1"
"71",6,6,7,6,8,7,224,34,"Man",NA,"Employed full time","manager","1,000+ employees","3-5 years","software","Professional or business services,Technology","",2,6,6,5,5,3,"Man_Nontraditional","Experiment","man_nontrad_5_1",7,"man","nontrad","5_1"
"72",7,5,6,5,6,6,238,27,"Woman",NA,"Employed full time","Program Manager","100-500 employees","1-2 years","Project Coordinator, Assocaite","Health","",4,5,5,5,3,5,"Man_Nontraditional","Experiment","man_nontrad_5_1",6,"man","nontrad","5_1"
"73",9,8,9,9,9,9,257,41,"Woman",NA,"Employed full time","IT supervisor head of it department ","1,000+ employees","5-10 years","IT supervisor ","Manufacturing","",3,6,5,3,4,3,"Man_Nontraditional","Experiment","man_nontrad_5_1",9,"man","nontrad","5_1"
"74",8,5,7,5,7,9,280,52,"Man",NA,"Employed full time","Director of IT","500-1,000 employees","10+ years","Management, food service, technical specialists.","Health,Leisure or hospitality","",2,5,6,2,7,2,"Man_Nontraditional","Experiment","man_nontrad_5_1",8,"man","nontrad","5_1"
"75",7,6,8,6,7,7,299,32,"Man",NA,"Employed full time","IT Manager","Less than 50 employees","3-5 years","IT support, frontend devs, backend devs.","Technology","",3,6,5,2,5,4,"Man_Nontraditional","Experiment","man_nontrad_5_1",6,"man","nontrad","5_1"
"76",9,5,5,7,3,9,4,37,"Man",NA,"Employed full time","IT Support","1,000+ employees","1-2 years","I have hired and recruited for tech support and helpdesk positions.","Technology","",5,6,6,5,2,7,"Man_Nontraditional","Experiment","man_nontrad_6_1",8,"man","nontrad","6_1"
"77",7,5,5,6,5,7,32,32,"Man",NA,"Employed full time","Electronic Technician ","100-500 employees","Less than 1 year","Electronic Technician ","Manufacturing","",2,5,5,4,5,4,"Man_Nontraditional","Experiment","man_nontrad_6_1",6,"man","nontrad","6_1"
"78",7,5,6,6,3,9,58,46,"Man",NA,"Employed full time","Project Manager","100-500 employees","5-10 years","Software Developer, IT Technician, UI/UX designer","Technology","",3,6,5,5,5,3,"Man_Nontraditional","Experiment","man_nontrad_6_1",8,"man","nontrad","6_1"
"79",5,5,5,5,2,6,60,62,"Man",NA,"Employed full time","Program Manager","100-500 employees","10+ years","Developer, Tester, Operations Analyst, Systems Engineer, ","Technology","",3,5,4,4,6,5,"Man_Nontraditional","Experiment","man_nontrad_6_1",5,"man","nontrad","6_1"
"80",8,8,8,8,8,8,81,41,"Man",NA,"Employed full time","Information systems analyst ","1,000+ employees","5-10 years","Systems Analyst and technical support","Education,Technology","",3,5,5,4,5,5,"Man_Nontraditional","Experiment","man_nontrad_6_1",8,"man","nontrad","6_1"
"81",9,5,5,9,5,10,112,30,"Man",NA,"Employed full time","Senior Data Scientist","1,000+ employees","Less than 1 year","I've interviewed for open spots on the teams I work on.","Technology","",5,6,6,4,3,6,"Man_Nontraditional","Experiment","man_nontrad_6_1",8,"man","nontrad","6_1"
"82",7,7,7,7,7,7,116,36,"Man",NA,"Employed full time","Project manager","50-100 employees","Less than 1 year","NA, I have not hired or recruited for any roles.","Manufacturing,Technology","",1,4,5,2,6,2,"Man_Nontraditional","Experiment","man_nontrad_6_1",8,"man","nontrad","6_1"
"83",9,6,9,10,7,8,137,42,"Man",NA,"Employed full time","Senior manager","50-100 employees","10+ years","Hiring manager","Technology","",1,6,7,1,7,1,"Man_Nontraditional","Experiment","man_nontrad_6_1",9,"man","nontrad","6_1"
"84",8,5,8,8,5,8,173,29,"Man",NA,"Employed full time","Systems Administrator","1,000+ employees","Less than 1 year","N/A","Other - not listed","N/A",5,6,5,5,4,6,"Man_Nontraditional","Experiment","man_nontrad_6_1",8,"man","nontrad","6_1"
"85",9,9,9,10,10,9,185,37,"Man",NA,"Employed full time","Lead programmer","1,000+ employees","3-5 years","Programmers","Technology","",1,2,1,1,7,1,"Man_Nontraditional","Experiment","man_nontrad_6_1",9,"man","nontrad","6_1"
"86",6,5,5,5,0,6,202,40,"Woman",NA,"Employed full time","Director","50-100 employees","5-10 years","Assistant IT Manager; STEM research analyst; software engineer","Financial or information,Technology","",6,7,7,6,5,6,"Man_Nontraditional","Experiment","man_nontrad_6_1",8,"man","nontrad","6_1"
"87",7,4,5,6,1,9,217,38,"Woman",NA,"Employed full time","Research Coordinator","100-500 employees","10+ years","technicians, software developer, analyst, cashiers","Professional or business services,Retail","",2,5,2,3,7,2,"Man_Nontraditional","Experiment","man_nontrad_6_1",7,"man","nontrad","6_1"
"88",5,5,5,5,6,6,250,27,"Man",NA,"Employed full time","Owner","Less than 50 employees","1-2 years","Research Analyst","Technology","",3,5,5,4,4,3,"Man_Nontraditional","Experiment","man_nontrad_6_1",7,"man","nontrad","6_1"
"89",10,9,10,10,9,10,268,48,"Man",NA,"Employed full time","Safety engineer","50-100 employees","3-5 years","Safety officer","Professional or business services,Technology","",2,2,6,5,6,3,"Man_Nontraditional","Experiment","man_nontrad_6_1",9,"man","nontrad","6_1"
"90",8,5,5,5,8,8,289,36,"Woman",NA,"Employed full time","Manager","500-1,000 employees","10+ years","Technicians, coordinators, data entry specialists","Health,Professional or business services","",3,7,5,5,4,5,"Man_Nontraditional","Experiment","man_nontrad_6_1",8,"man","nontrad","6_1"
"91",4,6,6,5,4,6,296,45,"Woman",NA,"Employed full time","Senior Sales Mgr -Pharma","Less than 50 employees","3-5 years","Mainly support staff for the science group","Other - not listed","Pharma - biotech",3,4,4,3,4,5,"Man_Nontraditional","Experiment","man_nontrad_6_1",5,"man","nontrad","6_1"
"92",5,3,6,5,2,6,31,37,"Man",NA,"Employed full time","Researcher","500-1,000 employees","1-2 years","Researcher, engineer, software developer","Technology","",4,6,6,5,5,6,"Man_Nontraditional","Experiment","man_nontrad_7_1",2,"man","nontrad","7_1"
"93",10,7,9,8,8,9,42,49,"Man",NA,"Employed full time","Engineer","50-100 employees","5-10 years","Junior Engineer. Technician","Technology","",4,5,5,3,6,3,"Man_Nontraditional","Experiment","man_nontrad_7_1",2,"man","nontrad","7_1"
"94",8,8,8,8,1,8,71,37,"Woman",NA,"Employed full time","Manager","500-1,000 employees","3-5 years","Employee, Assistant Manager","Technology","",5,3,6,1,6,2,"Man_Nontraditional","Experiment","man_nontrad_7_1",8,"man","nontrad","7_1"
"95",2,2,2,6,0,6,80,42,"Man",NA,"Employed full time","Principle Software Engineer","100-500 employees","10+ years","Software Engineer, Program Manager, Project Manager, Product Manager, CIO, Social Media, Producer, Writer, Marketing, Graphic Designer, UX Designer, QA, Consultant, Sales","Professional or business services,Technology","",3,4,5,2,7,2,"Man_Nontraditional","Experiment","man_nontrad_7_1",2,"man","nontrad","7_1"
"96",6,6,6,6,4,8,107,33,"Man",NA,"Employed full time","Research Associate","1,000+ employees","1-2 years","Research Associate, Research Specialist","Health","",6,5,6,5,3,5,"Man_Nontraditional","Experiment","man_nontrad_7_1",7,"man","nontrad","7_1"
"97",7,7,7,7,7,7,116,36,"Man",NA,"Employed full time","Project manager","50-100 employees","Less than 1 year","NA, I have not hired or recruited for any roles.","Manufacturing,Technology","",1,4,5,2,6,2,"Man_Nontraditional","Experiment","man_nontrad_7_1",6,"man","nontrad","7_1"
"98",8,5,5,5,7,10,153,53,"Man",NA,"Employed full time","Senior project Manager","50-100 employees","3-5 years","ColdFusion developer (assorted levels), Oracle Database Administrator, Social Media Analyst","Technology","",3,6,2,3,6,3,"Man_Nontraditional","Experiment","man_nontrad_7_1",9,"man","nontrad","7_1"
"99",7,7,7,6,5,7,158,52,"Man",NA,"Employed full time","manager, development","500-1,000 employees","10+ years","software development","Professional or business services,Technology","",3,4,4,4,5,4,"Man_Nontraditional","Experiment","man_nontrad_7_1",8,"man","nontrad","7_1"
"100",9,4,5,6,4,10,179,31,"Man",NA,"Employed full time","Administrative Analyst","Less than 50 employees","1-2 years","Administrative Assistant, Junior Data Analyst","Professional or business services,Technology,Transportation, utilities, or wholesale","",4,6,3,6,3,5,"Man_Nontraditional","Experiment","man_nontrad_7_1",8,"man","nontrad","7_1"
"101",8,1,5,6,9,10,204,40,"Man",NA,"Employed full time","Staff Software Engineer","1,000+ employees","3-5 years","Software engineer, engineering director ","Technology","",6,6,7,5,7,5,"Man_Nontraditional","Experiment","man_nontrad_7_1",10,"man","nontrad","7_1"
"102",8,5,5,5,5,8,231,31,"Woman",NA,"Employed full time","Senior Principal","1,000+ employees","3-5 years","Researcher, security professionals","Financial or information,Professional or business services","",3,5,4,3,5,4,"Man_Nontraditional","Experiment","man_nontrad_7_1",9,"man","nontrad","7_1"
"103",5,5,5,5,7,5,253,27,"Man",NA,"Employed full time","Owner","Less than 50 employees","1-2 years","Consultant","Financial or information","",4,4,4,3,4,4,"Man_Nontraditional","Experiment","man_nontrad_7_1",6,"man","nontrad","7_1"
"104",9,8,9,9,9,9,257,41,"Woman",NA,"Employed full time","IT supervisor head of it department ","1,000+ employees","5-10 years","IT supervisor ","Manufacturing","",3,6,5,3,4,3,"Man_Nontraditional","Experiment","man_nontrad_7_1",9,"man","nontrad","7_1"
"105",10,7,10,10,10,10,293,57,"Woman",NA,"Employed full time","IT Manager ","100-500 employees","10+ years","IT Technician, Software lead, software developer, Computer support specialist, Computer network architect, web developer, Internet Security chief","Technology","",1,7,5,5,3,2,"Man_Nontraditional","Experiment","man_nontrad_7_1",9,"man","nontrad","7_1"
